city_cn,city,city_id,province_cn,province,tier,lat,lng,population,GDP,GDP_growth_2019,GDP_2020Q1,GDP_pc,GDP_growth_rate
北京市,Beijing,110000,北京市,Beijing,Tier 1,39.91092454729957,116.4133836971231,2153.6,35371.3,6.1,7462.2,16.424266344725112,0.8438705956524074
天津市,Tianjin,120000,天津市,Tianjin,new Tier 1,39.093667843403956,117.2095232146708,1561.83,14104.0,4.8,2874.35,9.030432249348522,0.8151871809415768
石家庄市,Shijiazhuang,130100,河北省,Hebei,Tier 2,38.0483119268727,114.52153190157443,1039.42,5809.9,6.7,1349.4,5.5895595620634575,0.9290349231484192
唐山市,Tangshan,130200,河北省,Hebei,Tier 3,39.63658372414733,118.1864594720398,796.4,6890.0,7.3,1375.2,8.65143144148669,0.7983744557329463
秦皇岛市,Qinhuangdao,130300,河北省,Hebei,Tier 3,39.941748102377936,119.60853063334328,314.63,1612.02,6.7,352.09,5.123541938149573,0.8736616171015248
邯郸市,Handan,130400,河北省,Hebei,Tier 3,36.631262731204046,114.5456282282352,954.97,3486.0,7.2,788.4,3.650376451616281,0.9046471600688468
邢台市,Xingtai,130500,河北省,Hebei,Tier 3,37.076685950966095,114.5114622561298,739.52,2119.96,7.0,432.85,2.86667027260926,0.8167135228966584
保定市,Baoding,130600,河北省,Hebei,Tier 2,38.879987768455344,115.47146383768579,939.91,3224.0,6.7,750.4,3.4301156493706846,0.9310173697270471
张家口市,Zhangjiakou,130700,河北省,Hebei,Tier 4,40.7732372026915,114.89257223145165,442.33,1551.06,6.9,289.12,3.5065674948567813,0.7456062305777984
承德市,Chengde,130800,河北省,Hebei,Tier 4,40.957856012338034,117.9693975099668,358.27,1471.0,6.5,285.4,4.1058419627655125,0.7760707002039429
沧州市,Cangzhou,130900,河北省,Hebei,Tier 3,38.31021514110704,116.84558075595017,754.43,3588.0,6.9,823.0,4.755908434182098,0.9175027870680045
廊坊市,Langfang,131000,河北省,Hebei,Tier 2,39.54336666275853,116.69058173342549,492.05,3196.0,,,6.495274870439996,
衡水市,Hengshui,131100,河北省,Hebei,Tier 4,37.745191408077424,115.6754061376161,448.6,1504.9,6.8,294.5,3.3546589389210877,0.7827762642036015
太原市,Taiyuan,140100,山西省,Shanxi,Tier 2,37.87698902884778,112.55639149167204,446.19,4028.51,6.6,849.61,9.028687330509424,0.8435972605256037
大同市,Datong,140200,山西省,Shanxi,Tier 4,40.0824687161612,113.30643625858623,346.3,1318.8,6.7,285.8,3.8082587352006927,0.8668486502881408
阳泉市,Yangquan,140300,山西省,Shanxi,Tier 5,37.862360847859385,113.58761666287546,141.75,718.9,5.0,162.5,5.071604938271605,0.9041591320072333
长治市,Changzhi,140400,山西省,Shanxi,Tier 4,36.2012683721548,113.12255886984902,347.8,1652.1,6.0,368.6,4.750143760782058,0.8924399249440108
晋城市,Jincheng,140500,山西省,Shanxi,Tier 5,35.49628458647257,112.85857823132879,235.3,1362.4,6.5,300.5,5.790055248618785,0.8822665883734585
朔州市,Shuozhou,140600,山西省,Shanxi,Tier 5,39.337108370541735,112.4393709396677,178.45,1061.7,6.5,228.0,5.949565704679182,0.8589997174343035
晋中市,Jinzhong,140700,山西省,Shanxi,Tier 4,37.69283940975971,112.75959475565928,338.9484,1460.0,6.3,291.7,4.307440306548135,0.7991780821917808
运城市,Yuncheng,140800,山西省,Shanxi,Tier 4,35.032706912909234,111.01338945447924,537.26,1562.9,6.3,317.0,2.9090198414175634,0.8113123040501631
忻州市,Xinzhou,140900,山西省,Shanxi,Tier 4,38.42238338517772,112.74062416023848,317.29,1001.6,5.4,217.7,3.156733587569731,0.8694089456869009
临汾市,Linfen,141000,山西省,Shanxi,Tier 4,36.093741895419726,111.52553022403072,450.84,1452.6,6.0,299.4,3.2219856268299174,0.8244527054935977
吕梁市,Lvliang,141100,山西省,Shanxi,Tier 4,37.524497749577115,111.15044967529184,389.09,1512.1,5.7,316.0,3.886247397774294,0.8359235500297599
呼和浩特市,Hohhot,150100,内蒙古自治区,Neimenggu,Tier 3,40.848422997113474,111.75550856170946,313.7,2791.5,5.5,632.53,8.89862926362767,0.9063657531792942
包头市,Baotou,150200,内蒙古自治区,Neimenggu,Tier 4,40.66292878826139,109.84654350721243,289.7,2714.5,6.0,588.53,9.370037970314119,0.8672389021919322
乌海市,Wuhai,150300,内蒙古自治区,Neimenggu,Tier 5,39.6620063648907,106.80039104999656,56.61,550.95,9.5,123.52,9.732379438261793,0.89677829204102
赤峰市,Chifeng,150400,内蒙古自治区,Neimenggu,Tier 5,42.261686103411606,118.89552039751949,433.09,1708.4,5.1,363.31,3.9446766261054287,0.8506438773121049
通辽市,Tongliao,150500,内蒙古自治区,Neimenggu,Tier 5,43.657980083916655,122.25052178737631,313.88,1267.26,4.0,243.18,4.037402829106665,0.767577292741821
鄂尔多斯市,Ordos,150600,内蒙古自治区,Neimenggu,Tier 4,39.61448231394889,109.78744317923599,208.76,3605.0,4.0,733.96,17.26863383789998,0.8143800277392511
呼伦贝尔市,Hulunbuir,150700,内蒙古自治区,Neimenggu,Tier 5,49.21844647556481,119.77237049946636,253.41,1193.03,2.7,208.19,4.70790418689081,0.6980210053393461
巴彦淖尔市,Bayannur,150800,内蒙古自治区,Neimenggu,Tier 5,40.7493594895728,107.39439808372492,169.4,875.0,5.2,147.85,5.165289256198347,0.6758857142857143
乌兰察布市,Ulanqab,150900,内蒙古自治区,Neimenggu,Tier 5,41.00074832767381,113.13946767446329,209.02,808.4,6.2,181.94,3.8675724811022865,0.900247402276101
兴安盟,Xinganmeng,152200,内蒙古自治区,Neimenggu,Tier 5,46.088463713218964,122.0443645258252,161.13,520.06,7.1,88.68,3.227580214733445,0.6820751451755568
锡林郭勒盟,Xilinguole,152500,内蒙古自治区,Neimenggu,Tier 5,43.93942266533856,116.05439144074572,105.83,798.59,3.4,156.08,7.545969951809506,0.7817778835197035
阿拉善盟,Alashanmeng,152900,内蒙古自治区,Neimenggu,Tier 5,38.85827588305696,105.73537746449358,24.94,295.31,5.9,64.21,11.840817963111467,0.8697301141173681
沈阳市,Shenyang,210100,辽宁省,Liaoning,new Tier 1,41.683830069190655,123.47109664482264,832.2,6470.3,4.2,1284.3,7.77493391011776,0.7939662766795975
大连市,Dalian,210200,辽宁省,Liaoning,Tier 2,38.918953666785605,121.62163148459284,700.2,7001.7,6.5,1483.2,9.999571550985431,0.8473370752817173
鞍山市,Anshan,210300,辽宁省,Liaoning,Tier 3,41.11505359694933,123.00137251399408,358.46,1745.3,6.1,350.7,4.868883557440161,0.8037586661318971
抚顺市,Fushun,210400,辽宁省,Liaoning,Tier 4,41.885969593056934,123.96437461561449,206.7,847.1,-3.6,178.6,4.098209966134495,0.843347892810766
本溪市,Benxi,210500,辽宁省,Liaoning,Tier 5,41.492916460552905,123.69250712420832,167.36,781.1,3.5,169.1,4.667184512428298,0.8659582639866854
丹东市,Dandong,210600,辽宁省,Liaoning,Tier 4,40.00640870559368,124.3615472815908,238.0,768.0,2.0,146.9,3.226890756302521,0.7651041666666667
锦州市,Jinzhou,210700,辽宁省,Liaoning,Tier 4,41.10093149946208,121.1325963005552,293.4,1073.0,2.5,208.8,3.657123381049762,0.7783783783783784
营口市,Yingkou,210800,辽宁省,Liaoning,Tier 4,40.67313683826707,122.24157466449694,243.1,1328.2,7.0,264.0,5.463595228301111,0.795060984791447
